"Story","Title","Result","Date","Stability","Duration (s)"
"Test serenity","Verify count of sofas","SUCCESS","2019-05-03T21:37:21.008+03:00","0.0","14.95"
"Test serenity","Verify sub category","SUCCESS","2019-05-03T21:36:50.485+03:00","0.0","30.48"
